time	V(bus02)	V(bus03)	V(bus04)	V(vinn)	V(vinp)
Step Information: Ibias=63µ  (Run: 1/3)
0.000000000000000e+00	8.406454e-01	7.490258e-01	8.711152e-01	1.000000e+00	1.500000e+00
3.233124996768311e-04	8.403791e-01	7.490555e-01	8.709226e-01	1.016166e+00	1.483834e+00
6.162812496768311e-04	8.401279e-01	7.490842e-01	8.707360e-01	1.030814e+00	1.469186e+00
8.115937496768310e-04	8.399515e-01	7.491052e-01	8.706000e-01	1.040580e+00	1.459420e+00
9.092499996768310e-04	8.398591e-01	7.491165e-01	8.705267e-01	1.045462e+00	1.454538e+00
1.006906249676831e-03	8.397632e-01	7.491285e-01	8.704484e-01	1.050345e+00	1.449655e+00
1.104562499676831e-03	8.396628e-01	7.491416e-01	8.703640e-01	1.055228e+00	1.444772e+00
1.202218749676831e-03	8.395568e-01	7.491558e-01	8.702718e-01	1.060111e+00	1.439889e+00
1.299874999676831e-03	8.394438e-01	7.491714e-01	8.701699e-01	1.064994e+00	1.435006e+00
1.397531249676831e-03	8.393223e-01	7.491890e-01	8.700560e-01	1.069877e+00	1.430123e+00
1.495187499676831e-03	8.391900e-01	7.492089e-01	8.699272e-01	1.074759e+00	1.425241e+00
1.592843749676832e-03	8.390447e-01	7.492316e-01	8.697798e-01	1.079642e+00	1.420358e+00
1.690499999676832e-03	8.388832e-01	7.492578e-01	8.696096e-01	1.084525e+00	1.415475e+00
1.788156249676832e-03	8.387021e-01	7.492883e-01	8.694115e-01	1.089408e+00	1.410592e+00
1.885812499676832e-03	8.384969e-01	7.493241e-01	8.691795e-01	1.094291e+00	1.405709e+00
1.983468749676832e-03	8.382628e-01	7.493662e-01	8.689063e-01	1.099173e+00	1.400827e+00
2.081124999676832e-03	8.379938e-01	7.494158e-01	8.685836e-01	1.104056e+00	1.395944e+00
2.178781249676832e-03	8.376830e-01	7.494746e-01	8.682017e-01	1.108939e+00	1.391061e+00
2.276437499676832e-03	8.373224e-01	7.495444e-01	8.677491e-01	1.113822e+00	1.386178e+00
2.374093749676832e-03	8.369027e-01	7.496269e-01	8.672130e-01	1.118705e+00	1.381295e+00
2.471749999676832e-03	8.364134e-01	7.497245e-01	8.665785e-01	1.123587e+00	1.376413e+00
2.569406249676832e-03	8.358425e-01	7.498398e-01	8.658289e-01	1.128470e+00	1.371530e+00
2.667062499676832e-03	8.351765e-01	7.499755e-01	8.649457e-01	1.133353e+00	1.366647e+00
2.764718749676833e-03	8.344003e-01	7.501348e-01	8.639084e-01	1.138236e+00	1.361764e+00
2.862374999676833e-03	8.334975e-01	7.503211e-01	8.626946e-01	1.143119e+00	1.356881e+00
2.960031249676833e-03	8.324504e-01	7.505380e-01	8.612810e-01	1.148002e+00	1.351998e+00
3.057687499676833e-03	8.312402e-01	7.507890e-01	8.596431e-01	1.152884e+00	1.347116e+00
3.155343749676833e-03	8.298473e-01	7.510778e-01	8.577561e-01	1.157767e+00	1.342233e+00
3.252999999676833e-03	8.282521e-01	7.514081e-01	8.555959e-01	1.162650e+00	1.337350e+00
3.350656249676833e-03	8.264352e-01	7.517830e-01	8.531401e-01	1.167533e+00	1.332467e+00
3.448312499676833e-03	8.243781e-01	7.522055e-01	8.503684e-01	1.172416e+00	1.327584e+00
3.545968749676833e-03	8.220638e-01	7.526779e-01	8.472642e-01	1.177298e+00	1.322702e+00
3.643624999676833e-03	8.194771e-01	7.532017e-01	8.438151e-01	1.182181e+00	1.317819e+00
3.741281249676833e-03	8.166053e-01	7.537779e-01	8.400136e-01	1.187064e+00	1.312936e+00
3.838937499676833e-03	8.134383e-01	7.544063e-01	8.358576e-01	1.191947e+00	1.308053e+00
3.936593749676833e-03	8.099688e-01	7.550863e-01	8.313506e-01	1.196830e+00	1.303170e+00
4.034249999676833e-03	8.061923e-01	7.558159e-01	8.265017e-01	1.201712e+00	1.298288e+00
4.131906249676832e-03	8.021072e-01	7.565928e-01	8.213251e-01	1.206595e+00	1.293405e+00
4.229562499676832e-03	7.977141e-01	7.574136e-01	8.158402e-01	1.211478e+00	1.288522e+00
4.327218749676832e-03	7.930160e-01	7.582744e-01	8.100706e-01	1.216361e+00	1.283639e+00
4.424874999676831e-03	7.880180e-01	7.591710e-01	8.040439e-01	1.221244e+00	1.278756e+00
4.522531249676831e-03	7.827266e-01	7.600984e-01	7.977909e-01	1.226127e+00	1.273873e+00
4.620187499676831e-03	7.771499e-01	7.610514e-01	7.913451e-01	1.231009e+00	1.268991e+00
4.717843749676830e-03	7.712969e-01	7.620246e-01	7.847421e-01	1.235892e+00	1.264108e+00
4.815499999676830e-03	7.651778e-01	7.630125e-01	7.780195e-01	1.240775e+00	1.259225e+00
4.913156249676830e-03	7.588034e-01	7.640092e-01	7.712156e-01	1.245658e+00	1.254342e+00
5.108468749676829e-03	7.453347e-01	7.660062e-01	7.575223e-01	1.255423e+00	1.244577e+00
5.206124999676829e-03	7.382646e-01	7.669950e-01	7.507124e-01	1.260306e+00	1.239694e+00
5.303781249676828e-03	7.309874e-01	7.679700e-01	7.439798e-01	1.265189e+00	1.234811e+00
5.401437499676828e-03	7.235162e-01	7.689255e-01	7.373633e-01	1.270072e+00	1.229928e+00
5.499093749676828e-03	7.158645e-01	7.698566e-01	7.309003e-01	1.274955e+00	1.225045e+00
5.596749999676827e-03	7.080458e-01	7.707582e-01	7.246269e-01	1.279837e+00	1.220163e+00
5.694406249676827e-03	7.000744e-01	7.716256e-01	7.185768e-01	1.284720e+00	1.215280e+00
5.792062499676827e-03	6.919645e-01	7.724550e-01	7.127811e-01	1.289603e+00	1.210397e+00
5.889718749676826e-03	6.837307e-01	7.732424e-01	7.072676e-01	1.294486e+00	1.205514e+00
