time	v(bus04)-v(bus03)	V(bus03)	V(bus04)	V(vinn)	V(vinp)
Step Information: Ibias=63µ  (Run: 1/3)
0.000000000000000e+00	1.319046e-01	7.477127e-01	8.796173e-01	0.000000e+00	2.500000e+00
3.233124996768311e-04	1.316360e-01	7.477489e-01	8.793849e-01	8.082812e-02	2.419172e+00
6.162812496768311e-04	1.312316e-01	7.478031e-01	8.790347e-01	1.540703e-01	2.345930e+00
9.092499996768310e-04	1.306311e-01	7.478836e-01	8.785148e-01	2.273125e-01	2.272687e+00
2.764718749676833e-03	1.257818e-01	7.485327e-01	8.743145e-01	6.911797e-01	1.808820e+00
3.838937499676833e-03	1.226116e-01	7.489563e-01	8.715680e-01	9.597344e-01	1.540266e+00
3.936593749676833e-03	1.222962e-01	7.489984e-01	8.712946e-01	9.841484e-01	1.515852e+00
4.034249999676833e-03	1.219661e-01	7.490425e-01	8.710086e-01	1.008562e+00	1.491438e+00
4.131906249676832e-03	1.215975e-01	7.490917e-01	8.706892e-01	1.032977e+00	1.467023e+00
4.229562499676832e-03	1.211121e-01	7.491567e-01	8.702688e-01	1.057391e+00	1.442609e+00
4.327218749676832e-03	1.202807e-01	7.492681e-01	8.695488e-01	1.081805e+00	1.418195e+00
4.424874999676831e-03	1.185180e-01	7.495043e-01	8.680223e-01	1.106219e+00	1.393781e+00
4.522531249676831e-03	1.145515e-01	7.500350e-01	8.645865e-01	1.130633e+00	1.369367e+00
4.620187499676831e-03	1.061524e-01	7.511547e-01	8.573070e-01	1.155047e+00	1.344953e+00
4.717843749676830e-03	9.055752e-02	7.532197e-01	8.437772e-01	1.179461e+00	1.320539e+00
4.815499999676830e-03	6.599671e-02	7.564405e-01	8.224372e-01	1.203875e+00	1.296125e+00
4.913156249676830e-03	3.329241e-02	7.606783e-01	7.939707e-01	1.228289e+00	1.271711e+00
5.010812499676829e-03	-3.992856e-03	7.654489e-01	7.614560e-01	1.252703e+00	1.247297e+00
5.108468749676829e-03	-4.080963e-02	7.701037e-01	7.292941e-01	1.277117e+00	1.222883e+00
5.206124999676829e-03	-7.227045e-02	7.740416e-01	7.017711e-01	1.301531e+00	1.198469e+00
5.303781249676828e-03	-9.525853e-02	7.768967e-01	6.816381e-01	1.325945e+00	1.174055e+00
5.401437499676828e-03	-1.094838e-01	7.786535e-01	6.691697e-01	1.350359e+00	1.149641e+00
5.499093749676828e-03	-1.170122e-01	7.795797e-01	6.625675e-01	1.374773e+00	1.125227e+00
5.596749999676827e-03	-1.205567e-01	7.800149e-01	6.594582e-01	1.399187e+00	1.100813e+00
5.694406249676827e-03	-1.221545e-01	7.802110e-01	6.580564e-01	1.423602e+00	1.076398e+00
5.792062499676827e-03	-1.229343e-01	7.803068e-01	6.573725e-01	1.448016e+00	1.051984e+00
5.889718749676826e-03	-1.234106e-01	7.803654e-01	6.569548e-01	1.472430e+00	1.027570e+00
