,M1,M1b
w,8e-06,8e-06
l,5e-07,5e-07
m,1.0,1.0
as,4e-12,4e-12
ad,2e-12,2e-12
ps,9e-06,9e-06
pd,8e-12,8e-12
ids,9.95427e-05,9.95427e-05
vgs,0.73622,0.73622
vds,1.26419,1.26419
vdsat,0.218639,0.218639
region,saturation,saturation
vbs,-0.513512,-0.513512
vth,0.512911,0.512911
vgsteff,0.223176,0.223176
gm,0.00077121,0.00077121
gds,1.42237e-05,1.42237e-05
gmb,0.000140697,0.000140697
gmoverid,7.74753,7.74753
self_gain,54.2201,54.2201
cgs,2.04851e-14,2.04851e-14
cgsovl,3.83672e-15,3.83672e-15
cgb,1.06929e-15,1.06929e-15
cgbovl,4.5056e-19,4.5056e-19
cgd,3.54993e-15,3.54993e-15
cgdovl,3.83672e-15,3.83672e-15
cbd,2.23532e-15,2.23532e-15
cjd,2.19255e-15,2.19255e-15
cbs,9.58533e-15,9.58533e-15
cjs,8.44786e-15,8.44786e-15
csd,1.2201e-16,1.2201e-16
cm,7.65327e-15,7.65327e-15
cmb,1.3617000000000004e-15,1.3617000000000004e-15
cmx,1.6286799999999999e-15,1.6286799999999999e-15
fug,4889280000.0,4889280000.0
