,M1,M2,M3,M4,M5,M6,M7,M8
ids,0.000105603,0.000105625,-0.000105603,-0.000105625,-0.000646653,0.000646652,0.000211229,1e-05
vgs,0.745923,0.745991,-0.738922,-0.738922,-0.742752,0.615082,0.615082,0.615082
vds,1.25707,1.25324,-0.738922,-0.742752,-1.25007,1.24993,0.504009,0.615082
vdsat,0.228939,0.228963,-0.239408,-0.239408,-0.24349,0.204137,0.203329,0.198546
region,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation
vbs,-0.504009,-0.504009,0.0,0.0,0.0,0.0,0.0,0.0
vth,0.505209,0.505245,-0.50361,-0.50361,-0.503453,0.380813,0.381924,0.388796
vgsteff,0.240234,0.240266,0.236352,0.236352,0.240259,0.232819,0.231703,0.224804
gm,0.000792779,0.000792845,0.00076885,0.000768997,0.00462284,0.00514703,0.00169032,8.21887e-05
gds,8.22089e-06,8.22723e-06,5.77511e-06,5.75443e-06,2.70377e-05,1.35069e-05,7.60692e-06,2.88987e-07
gmb,0.000147004,0.000147015,0.000251105,0.000251153,0.00151241,0.00114064,0.000374772,1.81918e-05
gmoverid,7.50715,7.5062,7.28055,7.28042,7.14888,7.95951,8.00234,8.21887
self_gain,96.4348,96.3683,133.132,133.636,170.978,381.067,222.209,284.403
cgs,7.75691e-14,7.75692e-14,2.88157e-13,2.88155e-13,1.65581e-12,8.92521e-12,2.97725e-12,1.47745e-13
cgsovl,7.69272e-15,7.69272e-15,3.65212e-14,3.65212e-14,2.10105e-13,2.31341e-13,7.71007e-14,3.83672e-15
cgb,3.9337e-15,3.93369e-15,2.64986e-14,2.64996e-14,1.52299e-13,5.70909e-13,1.89349e-13,9.72409e-15
cgbovl,9.4628e-19,9.4628e-19,9.029e-19,9.029e-19,9.029e-19,3.94307e-18,3.94307e-18,3.94307e-18
cgd,7.02049e-15,7.02054e-15,3.66481e-14,3.66458e-14,2.10229e-13,2.21369e-13,7.85362e-14,3.77422e-15
cgdovl,7.69272e-15,7.69272e-15,3.65212e-14,3.65212e-14,2.10105e-13,2.31341e-13,7.71007e-14,3.83672e-15
cbd,4.49724e-15,4.50015e-15,2.33657e-14,2.33403e-14,1.18673e-13,1.4723e-13,6.19226e-14,9.04007e-17
cjd,4.39752e-15,4.4004e-15,2.33033e-14,2.3279e-14,1.18613e-13,1.45287e-13,5.85669e-14,0.0
cbs,2.16658e-14,2.16658e-14,6.2112e-14,6.21109e-14,3.59101e-13,1.03316e-12,3.4668e-13,1.73647e-14
cjs,1.66219e-14,1.66219e-14,0.0,0.0,0.0,0.0,0.0,0.0
csd,2.86252e-16,2.86211e-16,-9.46856e-17,-9.29656e-17,-9.23617e-17,4.01397e-15,-2.39562e-15,-1.39527e-17
cm,3.170701e-14,3.170706e-14,1.1861889999999997e-13,1.186182e-13,6.82309e-13,3.897091e-12,1.2992138e-12,6.464038e-14
cmb,6.03936e-15,6.03935e-15,3.81607e-14,3.8160999999999995e-14,2.20001e-13,9.7044e-13,3.218104e-13,1.59819993e-14
cmx,7.1347e-15,7.13461e-15,1.4271700000000002e-14,1.42725e-14,8.0963e-14,9.096610000000002e-13,3.0029699999999993e-13,1.468971e-14
fug,1425330000.0,1425440000.0,348320000.0,348390000.0,364532000.0,84299100.0,82900400.0,81124400.0
