,M1,M2,M1b,M2b,M3,M4,M3b,M4b,M5,M5b,M6,M6b,M7,M7b,M8,M8b
w,8e-06,8e-06,4e-06,4e-06,2.4e-05,2.4e-05,4e-06,4e-06,9.6e-05,4e-06,3.2e-05,4e-06,1.6e-05,4e-06,8e-06,4e-06
l,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07
m,1.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,1.0,24.0,1.0,8.0,1.0,4.0,1.0,2.0
as,4e-12,4e-12,1e-12,1e-12,8e-12,8e-12,1e-12,1e-12,2.6e-11,1e-12,1e-11,1e-12,6e-12,1e-12,4e-12,1e-12
ad,2e-12,2e-12,1e-12,1e-12,6e-12,6e-12,1e-12,1e-12,2.4e-11,1e-12,8e-12,1e-12,4e-12,1e-12,2e-12,1e-12
ps,9e-06,9e-06,4.5e-06,4.5e-06,2.7e-05,2.7e-05,4.5e-06,4.5e-06,0.000108,4.5e-06,3.6e-05,4.5e-06,1.8e-05,4.5e-06,9e-06,4.5e-06
pd,1.8e-05,1.8e-05,4.5e-06,4.5e-06,3.6e-05,3.6e-05,4.5e-06,4.5e-06,0.000117,4.5e-06,4.5e-05,4.5e-06,2.7e-05,4.5e-06,1.8e-05,4.5e-06
ids,9.95427e-05,9.96333e-05,9.70861e-05,9.72105e-05,-9.95427e-05,-9.96334e-05,-9.70861e-05,-9.72105e-05,-0.0004539,-0.000438683,0.0004539,0.000438683,0.000199176,0.000194297,0.0001,0.0001
vgs,0.73622,0.736488,0.738566,0.738953,-0.722302,-0.722302,-0.739897,-0.739897,-0.730487,-0.751947,0.64488,0.650886,0.64488,0.650886,0.64488,0.650886
vds,1.26419,1.256,1.24906,1.23701,-0.722302,-0.730487,-0.739897,-0.751947,-1.25027,-1.25039,1.24973,1.24961,0.513512,0.511047,0.64488,0.650886
vdsat,0.218639,0.218732,0.216995,0.217126,-0.25851,-0.258511,-0.264352,-0.264352,-0.267639,-0.274046,0.228238,0.226152,0.218727,0.21745,0.21848,0.219102
region,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation,saturation
vbs,-0.513512,-0.513512,-0.511047,-0.511047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vth,0.512911,0.513048,0.51807,0.518271,-0.479577,-0.479576,-0.48139,-0.48139,-0.479283,-0.481369,0.398086,0.408547,0.412025,0.421042,0.412779,0.418676
vgsteff,0.223176,0.223308,0.220395,0.220579,0.243676,0.243677,0.259267,0.259268,0.252004,0.271183,0.24604,0.241604,0.232112,0.229126,0.231365,0.231486
gm,0.00077121,0.000771484,0.000760755,0.000761131,0.000688354,0.000688945,0.000631996,0.00063276,0.00302367,0.00272124,0.00325529,0.0031994,0.00149356,0.00147405,0.000755188,0.00075485
gds,1.42237e-05,1.42495e-05,1.40576e-05,1.40955e-05,1.11255e-05,1.10344e-05,1.03845e-05,1.02632e-05,3.66278e-05,3.39241e-05,6.10994e-05,6.00051e-05,4.59342e-05,4.5252e-05,1.88182e-05,1.87133e-05
gmb,0.000140697,0.000140745,0.000138293,0.000138357,0.000226025,0.00022622,0.000205588,0.000205838,0.000997005,0.000886944,0.000748867,0.000732365,0.000343719,0.000337722,0.000173521,0.000172901
gmoverid,7.74753,7.74323,7.83588,7.82973,6.91516,6.9148,6.50965,6.50918,6.66153,6.20321,7.17182,7.2932,7.49868,7.58658,7.55188,7.5485
self_gain,54.2201,54.1411,54.117,53.998,61.8716,62.436,60.8598,61.6536,82.5513,80.2155,53.2786,53.3188,32.5151,32.5742,40.1306,40.3376
cgs,2.04851e-14,2.04851e-14,2.03498e-14,2.03499e-14,5.75337e-14,5.75328e-14,5.73181e-14,5.7317e-14,2.29926e-13,2.29258e-13,8.27986e-14,8.17968e-14,4.13258e-14,4.08979e-14,2.0585e-14,2.04443e-14
cgsovl,3.83672e-15,3.83672e-15,3.81744e-15,3.81744e-15,1.36812e-14,1.36812e-14,1.3567e-14,1.3567e-14,5.47932e-14,5.42678e-14,1.54047e-14,1.52698e-14,7.69272e-15,7.63488e-15,3.83672e-15,3.81744e-15
cgb,1.06929e-15,1.06928e-15,1.08955e-15,1.08955e-15,4.73151e-15,4.73193e-15,4.85624e-15,4.85679e-15,1.89021e-14,1.94003e-14,4.74715e-15,4.89986e-15,2.39736e-15,2.46112e-15,1.21239e-15,1.23209e-15
cgbovl,4.5056e-19,4.5056e-19,9.0112e-19,9.0112e-19,4.178e-19,4.178e-19,2.5068e-18,2.5068e-18,4.178e-19,1.00272e-17,4.5056e-19,3.60448e-18,4.5056e-19,1.80224e-18,4.5056e-19,9.0112e-19
cgd,3.54993e-15,3.54995e-15,3.53222e-15,3.53226e-15,1.37033e-14,1.37023e-14,1.35881e-14,1.35868e-14,5.48009e-14,5.42762e-14,1.42244e-14,1.41012e-14,7.14991e-15,7.09673e-15,3.55239e-15,3.53445e-15
